ティッカー,銘柄（英語）,事業内容,市場
A,Agilent Technologiesアジレント テクノロジーズ,環境、食品の品質・安全性等の化学分析を行うツールを開発、提供,NYSE
AA,Alcoaアルコア,アルミ原料を掘削する鉱山事業及び精練事業に従事,NYSE
AAL,American Airlines Groupアメリカン航空,米国の航空会社,NASDAQ
AAN,Aaron'sアーロンズ,オフィスと住宅用家具のリース・販売会社,NYSE
AAOI,Applied Optoelectronicsアプライド オプトエレクトロニクス,通信機器や光ファイバーなどの光通信製品を設計、製造する半導体会社。,NASDAQ
AAON,AAONAAON,業務用屋上型エアコン、暖房・熱回収設備、エアコン用コイルの設計、製造、販売を手掛ける空調設備機器メーカー。,NASDAQ
AAP,Advance Auto Partsアドバンス オート パーツ,自動車用品の小売りチェーン,NYSE
AAPL,Appleアップル,パソコン、コミュニケーション機器等の製造販売,NASDAQ
AAWW,Atlas Air Worldwide Holdingsアトラス エア ワールドワイドHD,世界の主要航空会社に航空機、乗組員、商用・軍用機、整備、保険付き貨物航空機を提供持株会社。,NASDAQ
AAXN,Axon Enterpriseアクソン エンタープライズ,安全保障システムの開発・製造を行う会社。警察・軍隊等に向けて防衛用のソリューションを提供し、世界で事業を展開している。,NASDAQ
ABBV,AbbVieアッヴィ,免疫や肝炎向けなどの薬品を開発・販売する製薬会社,NYSE
ABC,Amerisource Bergenアメリソース バーゲン,医薬品サービス会社,NYSE
ABCB,Ameris Bancorpアメリス バンコープ,銀行子会社Ameris Bank（同行）を通じてバンキングサービスを小売と商業顧客へ提供している。,NASDAQ
ABEO,Abeona Therapeuticsアベオナ セラピューティクス,臨床試験段階の医薬品を開発するバイオ医薬品メーカー。,NASDAQ
ABG,Asbury Automotive Groupアズベリー オートモーティブ グループ,自動車販売会社,NYSE
ABM,ABM IndustriesABM インダストリーズ,北米各地の都市で商工業・諸機関の顧客から空調、エンジニアリング施設サービス請負会社。,NYSE
ABMD,ABIOMEDアビオメッド,循環器医療機器メーカー。心臓鼓動機能の補助・代替テクノロジーを開発する。世界のヘルスケア専門家向けに製品とサービスを提供する。,NASDAQ
ABT,Abbott Laboratoriesアボット ラボラトリーズ,ヘルスケア製品のメーカー,NYSE
ACA,Arcosaアルコサ,貨物鉄道車両および鉄道車両リース・サービスの製造事業で構成されている、インフラ構築サービスを提供する会社。,NYSE
ACAD,ACADIA Pharmaceuticalsアカディア ファーマシューティカルズ,中枢神経障害に対する小分子薬剤の発見、開発、販売に注力するバイオ医薬品会社。,NASDAQ
ACCO,Acco Brandsアコ ブランズ,ホチキス、スケジュール帳、シュレッダーなどを取り扱うオフィス用品メーカー。,NYSE
ACGL,Arch Capital Groupアーチ キャピタル グループ,バミューダの保険・金融サービス会社,NASDAQ
ACHC,Acadia Healthcareアカディア ヘルスケア,精神病や薬物乱用患者などに行動障害ケアを行うヘルスケアサービス会社,NASDAQ
ACHN,Achillion Pharmaceuticalsアーキリオン製薬,感染症のソリューションを研究開発するバイオ医薬品会社。,NASDAQ
ACHV,Achieve Life Sciencesアチーブ ライフ サイエンシズ,ニコチン依存症の患者のためのシスチンを使用した治療薬の開発および商品化に従事している医薬品メーカー。,NASDAQ
